CIF,Formula,Structure Type,tcsp_center_label,tcsp_center,tcsp_prism_formula,tcsp_caps_formula,tctp_1_center,tctp_1_count,tctp_1_prism_formula,tctp_1_cap_formula,tctp_2_center,tctp_2_count,tctp_2_prism_formula,tctp_2_cap_formula,tctp_3_center,tctp_3_count,tctp_3_prism_formula,tctp_3_cap_formula
1929291.cif,Ce2InNi2,"Mo2FeB2,tP10,127",In1,In,Ce8,Ni4,Ni,4,Ce6,In2Ni,,,,,,,,
1925682.cif,Cu2Ho2In,"Mo2FeB2,tP10,127",In1,In,Ho8,Cu4,Cu,4,Ho6,In2Cu,,,,,,,,
1233886.cif,La2Si2Y,"Mo2FeB2,tP10,127",Y1,Y,La8,Si4,Si,4,La6,Y2Si,,,,,,,,
1217907.cif,CdLu2Pd2,"Mo2FeB2,tP10,127",Cd1,Cd,Lu8,Pd4,Pd,4,Lu6,Cd2Pd,,,,,,,,
1231065.cif,Er2InPd2,"Mo2FeB2,tP10,127",In1,In,Er8,Pd4,Pd,4,Er6,In2Pd,,,,,,,,
536099.cif,InLa2Ni2,"Mo2FeB2,tP10,127",In1,In,La8,Ni4,Ni,4,La6,In2Ni,,,,,,,,
1606173.cif,Ce2Cu2In,"Mo2FeB2,tP10,127",In1,In,Ce8,Cu4,Cu,4,Ce6,In2Cu,,,,,,,,
1012427.cif,Ge2InTb2,"Mo2FeB2,tP10,127",In1,In,Tb8,Ge4,Ge,4,Tb6,In2Ge,,,,,,,,
1946380.cif,Ce2Ge2In,"Mo2FeB2,tP10,127",In1,In,Ce8,Ge4,Ge,4,Ce6,In2Ge,,,,,,,,
1012430.cif,Ge2InY2,"Mo2FeB2,tP10,127",In1,In,Y8,Ge4,Ge,4,Y6,In2Ge,,,,,,,,
536109.cif,Cu2Ho2In,"Mo2FeB2,tP10,127",In1,In,Ho8,Cu4,Cu,4,Ho6,In2Cu,,,,,,,,
1530073.cif,Ge12InNi4Yb7,"Yb7Co4InGe12,tP24,83",Ge3,Ge,Ge4Ni2Yb2,Ge2Yb2,Ge,2,Ge2Ni2Yb2,Ge2Yb,,,,,,,,
1530073.cif,Ge12InNi4Yb7,"Yb7Co4InGe12,tP24,83",Ge2,Ge,Ge4Yb4,Ni2GeYb,Ge,1,Yb6,GeInNi,,,,,,,,
1530073.cif,Ge12InNi4Yb7,"Yb7Co4InGe12,tP24,83",In,In,Yb8,Ge4,Ge,4,Yb6,GeInNi,,,,,,,,
1323301.cif,Co4Ge12InYb7,"Yb7Co4InGe12,tP24,83",Ge3,Ge,Ge4Co2Yb2,Ge2Yb2,Ge,2,Co2Ge2Yb2,Ge2Yb,,,,,,,,
1323301.cif,Co4Ge12InYb7,"Yb7Co4InGe12,tP24,83",Ge2,Ge,Ge4Yb4,Co2GeYb,Ge,1,Yb6,CoGeIn,,,,,,,,
1323301.cif,Co4Ge12InYb7,"Yb7Co4InGe12,tP24,83",In,In,Yb8,Ge4,Ge,4,Yb6,CoGeIn,,,,,,,,
1323300.cif,Co4Ge12Ho7In,"Yb7Co4InGe12,tP24,83",Ge3,Ge,Ge4Co2Ho2,Ge2Ho2,Ge,2,Co2Ge2Ho2,Ge2Ho,,,,,,,,
1323300.cif,Co4Ge12Ho7In,"Yb7Co4InGe12,tP24,83",Ge2,Ge,Ge4Ho4,Co2GeHo,Ge,1,Ho6,CoGeIn,,,,,,,,
1323300.cif,Co4Ge12Ho7In,"Yb7Co4InGe12,tP24,83",In,In,Ho8,Ge4,Ge,4,Ho6,CoGeIn,,,,,,,,
1323299.cif,Co4Dy7Ge12In,"Yb7Co4InGe12,tP24,83",Ge3,Ge,Ge4Co2Dy2,Dy2Ge2,Ge,2,Co2Dy2Ge2,Ge2Dy,,,,,,,,
1323299.cif,Co4Dy7Ge12In,"Yb7Co4InGe12,tP24,83",Ge2,Ge,Dy4Ge4,Co2DyGe,Ge,1,Dy6,CoGeIn,,,,,,,,
1323299.cif,Co4Dy7Ge12In,"Yb7Co4InGe12,tP24,83",In,In,Dy8,Ge4,Ge,4,Dy6,CoGeIn,,,,,,,,
