,Structure type,cif,site,tcsp_present,tctp_on_caps,tctp_sites,sp_square_formula,sp_cap_formula,num_tctp_caps,tctp_center_0,tctp_tp_formula_0,tctp_cap_formula_0,tctp_center_1,tctp_tp_formula_1,tctp_cap_formula_1,tctp_center_2,tctp_tp_formula_2,tctp_cap_formula_2
108,"KAgCeTe4,mP14,6",1623484.cif,K1,yes,no,"[['', 0]]",Te6Ag2,Ag2Te2,0,,,,,,,,,
110,"KAgCeTe4,mP14,6",1623484.cif,Ag1,yes,no,"[['', 0]]",Ag4K2Te2,K2Te2,0,,,,,,,,,
344,"Tb6Pt12In23,mS82,12",1711843.cif,In10,yes,no,"[['', 0]]",In4Pt2Tb2,Tb2InPt,0,,,,,,,,,
395,"Ti45Se16,mS122,12",1003626.cif,Ti22,yes,no,"[['', 0]]",Ti6Se2,Ti4,0,,,,,,,,,
11,"CeNiSi2,oS16,63",559010.cif,Si2,yes,no,"[['', 0]]",Si4Ce2Ni2,Ce2Ni2,0,,,,,,,,,
358,"La7Pd17P12,mS72,12",1415523.cif,Pd2,yes,no,"[['', 0]]",La4Pd4,P4,0,,,,,,,,,
394,"La11Ni4Ge6,mS42,12",1252908.cif,La6,yes,no,"[['', 0]]",Ge4La4,La4,0,,,,,,,,,
8,"NdTe3,oS16,63",1903346.cif,Te1,yes,no,"[['', 0]]",Te6Nd2,Te4,0,,,,,,,,,
359,"La7Pd17P12,mS72,12",1415523.cif,Pd8,yes,no,"[['', 0]]",Pd4La2P2,P2LaPd,0,,,,,,,,,
361,"La7Pd17P12,mS72,12",1415523.cif,Pd4,yes,no,"[['', 0]]",P4Pd4,La4,0,,,,,,,,,
393,"(Ta0.89Ni0.11)Ni2P,oP16,62",1052753.cif,Ni2,yes,no,"[['', 0]]",Ni4P2Ta2,Ni2Ta2,0,,,,,,,,,
363,"Ce3Pd4Sn6,oP52,62",1004570.cif,Sn1,yes,no,"[['', 0]]",Sn4Ce2Pd2,Ce2PdSn,0,,,,,,,,,
14,"Cu3Ce2Ge3,oS16,38",1602121.cif,Ge2,yes,no,"[['', 0]]",Cu4Ce2Ge2,Ce2Cu2,0,,,,,,,,,
15,"Cu3Ce2Ge3,oS16,38",1602121.cif,Cu1,yes,no,"[['', 0]]",Ge4Ce2Cu2,Ce2Ge2,0,,,,,,,,,
352,"Eu3Co2In15,tP40,127",1125020.cif,Eu1,yes,no,"[['', 0]]",In8,In4,0,,,,,,,,,
399,"Ti45Se16,mS122,12",1003626.cif,Ti7,yes,no,"[['', 0]]",Se4Ti4,Ti3Se,0,,,,,,,,,
304,"Ce4Ni7In8,oS76,65",1407158.cif,In6,yes,no,"[['', 0]]",Ce4Ni4,Ni2CeIn,0,,,,,,,,,
437,"Ca5Pd6P6,oP34,51",1707998.cif,Pd3,yes,no,"[['', 0]]",P4Pd4,Ca4,0,,,,,,,,,
321,"LaPd2In4,oP70,26",1227415.cif,In11,yes,no,"[['', 0]]",In4La4,In2Pd2,0,,,,,,,,,
319,"LaPd2In4,oP70,26",1227415.cif,In9,yes,no,"[['', 0]]",In4La2Pd2,Pd2InLa,0,,,,,,,,,
317,"LaPd2In4,oP70,26",1227415.cif,In6,yes,no,"[['', 0]]",In4La2Pd2,In2LaPd,0,,,,,,,,,
316,"LaPd2In4,oP70,26",1227415.cif,In5,yes,no,"[['', 0]]",In4La2Pd2,In2LaPd,0,,,,,,,,,
314,"Y5Co5Ga,oS44,63",1803062.cif,Ga,yes,no,"[['', 0]]",Co4Y4,Y4,0,,,,,,,,,
313,"Y5Co5Ga,oS44,63",1803062.cif,Y3,yes,no,"[['', 0]]",Co4Ga2Y2,Co2GaY,0,,,,,,,,,
431,"La4Co3Al3,oS20,38",1651336.cif,La2,yes,no,"[['', 0]]",Al4Co2La2,La4,0,,,,,,,,,
323,"LaPd2In4,oP70,26",1227415.cif,In13,yes,no,"[['', 0]]",In4La2Pd2,In2LaPd,0,,,,,,,,,
380,"YNiAl3,oP20,62",1406353.cif,Al2,yes,no,"[['', 0]]",Al4Ni2Y2,Al2Y2,0,,,,,,,,,
84,"Ce3Pd6Sb5,oP28,59",1321911.cif,Ce1,yes,no,"[['', 0]]",Pd4Sb4,Pd2Sb2,0,,,,,,,,,
481,"UCr5P3,mP18,11",1831614.cif,Cr2,yes,no,"[['', 0]]",Cr6P2,P2CrU,0,,,,,,,,,
353,"La7Pd17P12,mS72,12",1415523.cif,Pd5,yes,no,"[['', 0]]",P4Pd4,La3Pd,0,,,,,,,,,
106,"KAgCeTe4,mP14,6",1623484.cif,Ag2,yes,no,"[['', 0]]",Ag4K2Te2,K2Te2,0,,,,,,,,,
107,"KAgCeTe4,mP14,6",1623484.cif,K2,yes,no,"[['', 0]]",Te6Ag2,Ag2Te2,0,,,,,,,,,
328,"LaPd2In4,oP70,26",1227415.cif,In20,yes,no,"[['', 0]]",In4La2Pd2,In2LaPd,0,,,,,,,,,
327,"LaPd2In4,oP70,26",1227415.cif,In18,yes,no,"[['', 0]]",In4La2Pd2,Pd2InLa,0,,,,,,,,,
326,"LaPd2In4,oP70,26",1227415.cif,In16,yes,no,"[['', 0]]",In4La2Pd2,Pd2InLa,0,,,,,,,,,
325,"LaPd2In4,oP70,26",1227415.cif,In15,yes,no,"[['', 0]]",In4La2Pd2,In2LaPd,0,,,,,,,,,
324,"LaPd2In4,oP70,26",1227415.cif,In14,yes,no,"[['', 0]]",In4La2Pd2,In2LaPd,0,,,,,,,,,
421,"La4Co2Sn5,mS22,12",1840230.cif,Sn3,yes,no,"[['', 0]]",La4Sn4,Co2La2,0,,,,,,,,,
407,"La3Ni12P7,oS88,36",1803976.cif,Ni11,yes,no,"[['', 0]]",Ni4La2P2,La2P2,0,,,,,,,,,
408,"La3Ni12P7,oS88,36",1803976.cif,P6,yes,no,"[['', 0]]",Ni4La2P2,Ni4,0,,,,,,,,,
409,"La3Ni12P7,oS88,36",1803976.cif,Ni3,yes,no,"[['', 0]]",Ni4La2P2,Ni2LaP,0,,,,,,,,,
435,"NdRh2Sn4,oP28,62",1903062.cif,Sn1,yes,no,"[['', 0]]",Sn4Nd2Rh2,Rh2NdSn,0,,,,,,,,,
410,"La3Ni12P7,oS88,36",1803976.cif,P2,yes,no,"[['', 0]]",Ni4La2P2,Ni3La,0,,,,,,,,,
413,"La3Ni12P7,oS88,36",1803976.cif,Ni7,yes,no,"[['', 0]]",Ni4P4,Ni2P2,0,,,,,,,,,
415,"La3Ni12P7,oS88,36",1803976.cif,P5,yes,no,"[['', 0]]",Ni4La2P2,Ni3La,0,,,,,,,,,
322,"LaPd2In4,oP70,26",1227415.cif,In12,yes,no,"[['', 0]]",In4La2Pd2,Pd2InLa,0,,,,,,,,,
417,"La3Ni12P7,oS88,36",1803976.cif,Ni4,yes,no,"[['', 0]]",Ni4La2P2,Ni2LaP,0,,,,,,,,,
419,"La4Co2Sn5,mS22,12",1840230.cif,Sn1,yes,no,"[['', 0]]",Sn4Co2La2,La3Co,0,,,,,,,,,
506,"GdNiIn2,oS112,63",1121912.cif,In5,yes,no,"[['', 0]]",Gd4In2Ni2,In4,0,,,,,,,,,
488,"Ca28Ga11,oI78,44",1240886.cif,Ca3,yes,no,"[['', 0]]",Ca6Ga2,Ca3Ga,0,,,,,,,,,
475,"Zr2Ni3P3,oP32,62",1612289.cif,Ni1,yes,no,"[['', 0]]",Zr4Ni2P2,P2NiZr,0,,,,,,,,,
487,"Ca28Ga11,oI78,44",1240886.cif,Ga1,yes,no,"[['', 0]]",Ca8,Ca4,0,,,,,,,,,
485,"Ca3Ga5,oS32,63",1250610.cif,Ga3,yes,no,"[['', 0]]",Ca4Ga4,Ca2Ga2,0,,,,,,,,,
478,"Mg4CuTb,oS48,65",1622981.cif,Mg7,yes,no,"[['', 0]]",Mg6Cu2,Mg2Tb2,0,,,,,,,,,
483,"UCr5P3,mP18,11",1831614.cif,Cr5,yes,no,"[['', 0]]",Cr4P2U2,P2CrU,0,,,,,,,,,
527,"Lu2Pt3Al4,oP36,62",1147472.cif,Lu2,yes,no,"[['', 0]]",Pt6Al2,Al4,0,,,,,,,,,
466,"Au3Ce2In5,oP80,31",1701828.cif,In14,yes,no,"[['', 0]]",In4Au2Ce2,Ce2AuIn,0,,,,,,,,,
436,"NdRh2Sn4,oP28,62",1903062.cif,Sn2,yes,no,"[['', 0]]",Sn4Nd2Rh2,Sn2NdRh,0,,,,,,,,,
434,"NdRh2Sn4,oP28,62",1903062.cif,Sn3,yes,no,"[['', 0]]",Sn4Nd2Rh2,Sn2NdRh,0,,,,,,,,,
468,"Au3Ce2In5,oP80,31",1701828.cif,Au7,yes,no,"[['', 0]]",In4Au2Ce2,Ce2In2,0,,,,,,,,,
469,"Au3Ce2In5,oP80,31",1701828.cif,In12,yes,no,"[['', 0]]",In4Au2Ce2,Au2CeIn,0,,,,,,,,,
470,"Au3Ce2In5,oP80,31",1701828.cif,In11,yes,no,"[['', 0]]",In4Au2Ce2,In2AuCe,0,,,,,,,,,
329,"Yb2Pt3Sn5,oP40,62",1253042.cif,Pt1,yes,no,"[['', 0]]",Yb4Pt2Sn2,Sn3Yb,0,,,,,,,,,
438,"Ca5Pd6P6,oP34,51",1707998.cif,Pd5,yes,no,"[['', 0]]",Ca4Pd4,P4,0,,,,,,,,,
515,"Sr2Pd3P3,oP32,47",1703010.cif,Pd7,yes,no,"[['', 0]]",Pd4P2Sr2,P2Sr2,0,,,,,,,,,
516,"Sr2Pd3P3,oP32,47",1703010.cif,Pd2,yes,no,"[['', 0]]",Pd4P2Sr2,P2Sr2,0,,,,,,,,,
518,"Sr2Pd3P3,oP32,47",1703010.cif,Pd5,yes,no,"[['', 0]]",Pd4Sr4,P4,0,,,,,,,,,
519,"Sr2Pd3P3,oP32,47",1703010.cif,Pd4,yes,no,"[['', 0]]",P4Pd4,Sr4,0,,,,,,,,,
520,"Sr2Pd3P3,oP32,47",1703010.cif,Pd6,yes,no,"[['', 0]]",P4Pd4,Sr4,0,,,,,,,,,
406,"La3Ni12P7,oS88,36",1803976.cif,Ni2,yes,no,"[['', 0]]",Ni4La2P2,P2LaNi,0,,,,,,,,,
521,"Sr2Pd3P3,oP32,47",1703010.cif,Pd1,yes,no,"[['', 0]]",Pd4Sr4,P4,0,,,,,,,,,
471,"KHg2,oI12,74",1937620.cif,Hg1,yes,no,"[['', 0]]",Hg4K4,Hg2K2,0,,,,,,,,,
523,"Zr2Cr30P19,hP51,174",1811570.cif,Cr6,yes,no,"[['', 0]]",Cr4P2Zr2,Cr2P2,0,,,,,,,,,
496,"Tb3Co2Ge4,mS18,12",1407058.cif,Ge1,yes,no,"[['', 0]]",Tb4Co2Ge2,Tb2CoGe,0,,,,,,,,,
495,"Ca28Ga11,oI78,44",1240886.cif,Ca14,yes,no,"[['', 0]]",Ca6Ga2,Ca2Ga2,0,,,,,,,,,
494,"Ca28Ga11,oI78,44",1240886.cif,Ca13,yes,no,"[['', 0]]",Ca6Ga2,Ca3Ga,0,,,,,,,,,
533,"Y3Pt4Ge6,mP26,11",1000562.cif,Ge6,yes,no,"[['', 0]]",Ge4Pt2Y2,Y2GePt,0,,,,,,,,,
535,"Y3Pt4Ge6,mP26,11",1000562.cif,Ge2,yes,no,"[['', 0]]",Ge4Pt2Y2,Pt2Y2,0,,,,,,,,,
536,"Y3Pt4Ge6,mP26,11",1000562.cif,Ge5,yes,no,"[['', 0]]",Ge4Pt2Y2,Y2GePt,0,,,,,,,,,
491,"Ca28Ga11,oI78,44",1240886.cif,Ca8,yes,no,"[['', 0]]",Ca6Ga2,Ca3Ga,0,,,,,,,,,
284,"Ca2NiSn2,oP20,59",1229707.cif,Sn1,yes,no,"[['', 0]]",Ca4Ni2Sn2,Ca2NiSn,0,,,,,,,,,
282,"Sc3RuSi3,oP28,62",1931062.cif,Sc2,yes,no,"[['', 0]]",Si4Ru2Sc2,Sc2Si2,0,,,,,,,,,
86,"Ce3Pd6Sb5,oP28,59",1321911.cif,Pd4,yes,no,"[['', 0]]",Sb6Ce2,Ce2Pd2,0,,,,,,,,,
281,"Sc3RuSi3,oP28,62",1931062.cif,Ru,yes,no,"[['', 0]]",Sc6Si2,Sc2Si2,0,,,,,,,,,
87,"Sm4Co0.64Ge7,oS24,38",1803095.cif,Ge1,yes,no,"[['', 0]]",Ge4Sm4,Ge2Sm2,0,,,,,,,,,
77,"YNi5Si3,oP36,62",1007703.cif,Ni2,yes,no,"[['', 0]]",Ni6Si2,Si2NiY,0,,,,,,,,,
379,"YNiAl3,oP20,62",1406353.cif,Y,yes,no,"[['', 0]]",Al6Ni2,Al4,0,,,,,,,,,
465,"Au3Ce2In5,oP80,31",1701828.cif,Au8,yes,no,"[['', 0]]",In4Au2Ce2,Ce2In2,0,,,,,,,,,
467,"Au3Ce2In5,oP80,31",1701828.cif,In13,yes,no,"[['', 0]]",In4Au2Ce2,Ce2AuIn,0,,,,,,,,,
522,"Zr2Cr30P19,hP51,174",1811570.cif,Cr5,yes,no,"[['', 0]]",Cr4P2Zr2,Cr2P2,0,,,,,,,,,
311,"Zn3Yb2Ge3,mS32,12",1813975.cif,Zn3,yes,no,"[['', 0]]",Yb4Ge2Zn2,Ge2YbZn,0,,,,,,,,,
310,"Zn3Yb2Ge3,mS32,12",1813975.cif,Ge3,yes,no,"[['', 0]]",Zn4Ge2Yb2,Yb2Zn2,0,,,,,,,,,
309,"Ce4Ni7In8,oS76,65",1407158.cif,In5,yes,no,"[['', 0]]",Ce4Ni4,Ni4,0,,,,,,,,,
308,"Ce4Ni7In8,oS76,65",1407158.cif,In4,yes,no,"[['', 0]]",Ce4In4,Ni4,0,,,,,,,,,
307,"Ce4Ni7In8,oS76,65",1407158.cif,In2,yes,no,"[['', 0]]",In4Ni4,Ce4,0,,,,,,,,,
320,"LaPd2In4,oP70,26",1227415.cif,In10,yes,no,"[['', 0]]",In4La2Pd2,In2LaPd,0,,,,,,,,,
72,"YNi5Si3,oP36,62",1007703.cif,Ni1,yes,no,"[['', 0]]",Ni4Si2Y2,Ni2Si2,0,,,,,,,,,
337,"Tb6Pt12In23,mS82,12",1711843.cif,In1,yes,no,"[['', 0]]",In4Pt2Tb2,In2PtTb,0,,,,,,,,,
301,"Nb2P,oP54,51",1226792.cif,Nb11,yes,no,"[['', 0]]",Nb8,P4,0,,,,,,,,,
76,"YNi5Si3,oP36,62",1007703.cif,Si2,yes,no,"[['', 0]]",Ni4Si2Y2,Ni3Y,0,,,,,,,,,
299,"Nb2P,oP54,51",1226792.cif,Nb7,yes,no,"[['', 0]]",Nb6P2,Nb2P2,0,,,,,,,,,
89,"Sc5Co4Si10,tP38,127",313923.cif,Si2,yes,no,"[['', 0]]",Sc4Si4,Co2ScSi,0,,,,,,,,,
298,"Nb2P,oP54,51",1226792.cif,Nb3,yes,no,"[['', 0]]",Nb6P2,Nb3P,0,,,,,,,,,
78,"BaFe2Al9,hP12,191",460947.cif,Al2,yes,no,"[['', 0]]",Al4Ba2Fe2,Al4,0,,,,,,,,,
79,"Lu3Co2In4,hP9,174",1000758.cif,In2,yes,no,"[['', 0]]",Lu6Co2,In3Co,0,,,,,,,,,
80,"Ce3Pd6Sb5,oP28,59",1321911.cif,Pd3,yes,no,"[['', 0]]",Ce4Pd2Sb2,Sb2CePd,0,,,,,,,,,
81,"Ce3Pd6Sb5,oP28,59",1321911.cif,Sb2,yes,no,"[['', 0]]",Ce4Pd2Sb2,Pd3Ce,0,,,,,,,,,
82,"Ce3Pd6Sb5,oP28,59",1321911.cif,Pd1,yes,no,"[['', 0]]",Pd4Ce2Sb2,Ce2Sb2,0,,,,,,,,,
83,"Ce3Pd6Sb5,oP28,59",1321911.cif,Sb3,yes,no,"[['', 0]]",Ce4Pd4,Pd2Sb2,0,,,,,,,,,
294,"La11Ru2Al6,oP38,55",1631451.cif,Al1,yes,no,"[['', 0]]",La6Ru2,La3Al,0,,,,,,,,,
85,"Ce3Pd6Sb5,oP28,59",1321911.cif,Pd2,yes,no,"[['', 0]]",Pd4Ce2Sb2,Ce2Sb2,0,,,,,,,,,
302,"Nb2P,oP54,51",1226792.cif,Nb12,yes,no,"[['', 0]]",Nb8,P4,0,,,,,,,,,
461,"Au3Ce2In5,oP80,31",1701828.cif,Au10,yes,no,"[['', 0]]",Ce4Au2In2,In3Ce,0,,,,,,,,,
462,"Au3Ce2In5,oP80,31",1701828.cif,In18,yes,no,"[['', 0]]",Ce4Au2In2,Au2CeIn,0,,,,,,,,,
463,"Au3Ce2In5,oP80,31",1701828.cif,In16,yes,no,"[['', 0]]",In4Au2Ce2,Au2CeIn,0,,,,,,,,,
448,"Au3Ce2In5,oP80,31",1701828.cif,Au5,yes,no,"[['', 0]]",Ce4Au2In2,In3Ce,0,,,,,,,,,
464,"Au3Ce2In5,oP80,31",1701828.cif,In15,yes,no,"[['', 0]]",In4Au2Ce2,In2AuCe,0,,,,,,,,,
275,"LaNi3In6,oP20,59",1233862.cif,In4,yes,no,"[['', 0]]",In4La2Ni2,In3Ni,0,,,,,,,,,
88,"Sc5Co4Si10,tP38,127",313923.cif,Si1,yes,no,"[['', 0]]",Si4Co2Sc2,Sc2Si2,0,,,,,,,,,
377,"KCuCeTe4,oP14,59",1413933.cif,K1,yes,no,"[['', 0]]",Te6Cu2,Cu2Te2,0,,,,,,,,,
128,"Ce2Pt7Ge4,oP52,62",1233570.cif,Ge4,yes,no,"[['', 0]]",Pt4Ce2Ge2,Pt3Ce,0,,,,,,,,,
129,"Ce2Pt7Ge4,oP52,62",1233570.cif,Pt7,yes,no,"[['', 0]]",Pt4Ce2Ge2,Pt2CeGe,0,,,,,,,,,
375,"KCuCeTe4,oP14,59",1413933.cif,Cu1,yes,no,"[['', 0]]",Cu4K2Te2,K2Te2,0,,,,,,,,,
132,"TbGe2,oS24,65",1007801.cif,Ge1,yes,no,"[['', 0]]",Ge4Tb4,Ge2Tb2,0,,,,,,,,,
374,"Li7Eu4Bi6,mS34,12",1641867.cif,Li4,yes,no,"[['', 0]]",Bi4Li4,Bi2Li2,0,,,,,,,,,
102,"CeFe2Al8,oP44,55",1615334.cif,Al2,yes,no,"[['', 0]]",Al4Fe4,Al4,0,,,,,,,,,
373,"Li7Eu4Bi6,mS34,12",1641867.cif,Bi3,yes,no,"[['', 0]]",Li4Bi2Eu2,Eu2Li2,0,,,,,,,,,
100,"CeFe2Al8,oP44,55",1615334.cif,Fe2,yes,no,"[['', 0]]",Al8,Al3Ce,0,,,,,,,,,
445,"Sm25Ni49P33,hP107,187",1810860.cif,Ni7,yes,no,"[['', 0]]",Ni6Sm2,Ni4,0,,,,,,,,,
333,"Yb2Pt3Sn5,oP40,62",1253042.cif,Sn4,yes,no,"[['', 0]]",Sn4Pt2Yb2,Sn2PtYb,0,,,,,,,,,
332,"Yb2Pt3Sn5,oP40,62",1253042.cif,Sn1,yes,no,"[['', 0]]",Yb4Pt2Sn2,Pt2SnYb,0,,,,,,,,,
96,"CeFe2Al8,oP44,55",1615334.cif,Al8,yes,no,"[['', 0]]",Al4Ce2Fe2,Al4,0,,,,,,,,,
447,"Au3Ce2In5,oP80,31",1701828.cif,In9,yes,no,"[['', 0]]",Ce4Au2In2,Au2CeIn,0,,,,,,,,,
449,"Au3Ce2In5,oP80,31",1701828.cif,Au4,yes,no,"[['', 0]]",Ce4Au2In2,In3Ce,0,,,,,,,,,
450,"Au3Ce2In5,oP80,31",1701828.cif,In8,yes,no,"[['', 0]]",Ce4Au2In2,Au2CeIn,0,,,,,,,,,
451,"Au3Ce2In5,oP80,31",1701828.cif,In6,yes,no,"[['', 0]]",In4Au2Ce2,In2AuCe,0,,,,,,,,,
452,"Au3Ce2In5,oP80,31",1701828.cif,In5,yes,no,"[['', 0]]",In4Au2Ce2,Au2CeIn,0,,,,,,,,,
453,"Au3Ce2In5,oP80,31",1701828.cif,Au2,yes,no,"[['', 0]]",In4Au2Ce2,Ce2In2,0,,,,,,,,,
454,"Au3Ce2In5,oP80,31",1701828.cif,In4,yes,no,"[['', 0]]",In4Au2Ce2,Ce2AuIn,0,,,,,,,,,
456,"Au3Ce2In5,oP80,31",1701828.cif,Au1,yes,no,"[['', 0]]",In4Au2Ce2,Ce2In2,0,,,,,,,,,
457,"Au3Ce2In5,oP80,31",1701828.cif,In2,yes,no,"[['', 0]]",In4Au2Ce2,Au2CeIn,0,,,,,,,,,
458,"Au3Ce2In5,oP80,31",1701828.cif,In1,yes,no,"[['', 0]]",In4Au2Ce2,In2AuCe,0,,,,,,,,,
459,"Au3Ce2In5,oP80,31",1701828.cif,In19,yes,no,"[['', 0]]",Ce4Au2In2,Au2CeIn,0,,,,,,,,,
460,"Au3Ce2In5,oP80,31",1701828.cif,Au11,yes,no,"[['', 0]]",Ce4Au2In2,In3Ce,0,,,,,,,,,
610,"ErNi3Ge2,hP72,174",1406536.cif,Ni11,yes,no,"[['', 0]]",Ni4Er2Ge2,Ge2ErNi,0,,,,,,,,,
628,"RbNa8Ga3As6,oP72,62",1229899.cif,Na1,yes,no,"[['', 0]]",Na4As2Rb2,As2NaRb,0,,,,,,,,,
61,"K2SrCdSb2,oP12,26",1603965.cif,Sb2,yes,no,"[['', 0]]",K4Cd2Sb2,K2Sr2,0,,,,,,,,,
539,"Y3Pt4Ge6,mP26,11",1000562.cif,Ge1,yes,no,"[['', 0]]",Ge4Pt2Y2,Pt2Y2,0,,,,,,,,,
0,"Ni3Te2,mP10,11",1200348.cif,Ni2,yes,no,"[['', 0]]",Ni6Te2,Ni2Te2,0,,,,,,,,,
97,"CeFe2Al8,oP44,55",1615334.cif,Al5,yes,no,"[['', 0]]",Al4Ce2Fe2,Al4,0,,,,,,,,,
98,"CeFe2Al8,oP44,55",1615334.cif,Al3,yes,no,"[['', 0]]",Al4Ce2Fe2,Al4,0,,,,,,,,,
403,"Ca7Ni4Sn13,tP24,83",539355.cif,Sn2,yes,no,"[['', 0]]",Sn4Ca2Ni2,Ca2Sn2,0,,,,,,,,,
303,"Ce4Ni7In8,oS76,65",1407158.cif,In3,yes,no,"[['', 0]]",Ce4In2Ni2,In3Ce,0,,,,,,,,,
305,"Ce4Ni7In8,oS76,65",1407158.cif,In1,yes,no,"[['', 0]]",Ce4In4,In2Ni2,0,,,,,,,,,
268,"NdNiGa2,oS16,65",1602821.cif,Ga2,yes,no,"[['', 0]]",Ga4Ni4,Nd4,0,,,,,,,,,
270,"Li13Si4,oP34,55",534537.cif,Li1,yes,no,"[['', 0]]",Li6Si2,Li3Si,0,,,,,,,,,
538,"Y3Pt4Ge6,mP26,11",1000562.cif,Ge4,yes,no,"[['', 0]]",Ge4Y4,Pt3Y,0,,,,,,,,,
335,"Zn5Gd4Ge6,oS60,36",1412374.cif,Ge1,yes,no,"[['', 0]]",Ge4Zn4,Gd4,0,,,,,,,,,
455,"Au3Ce2In5,oP80,31",1701828.cif,In3,yes,no,"[['', 0]]",In4Au2Ce2,Ce2AuIn,0,,,,,,,,,
334,"Yb2Pt3Sn5,oP40,62",1253042.cif,Pt2,yes,no,"[['', 0]]",Sn4Pt2Yb2,Sn2Yb2,0,,,,,,,,,
635,"La2Ni12P5,mP38,11",1007528.cif,Ni9,yes,no,"[['', 0]]",Ni6P2,La2NiP,0,,,,,,,,,
634,"La2Ni12P5,mP38,11",1007528.cif,Ni5,yes,no,"[['', 0]]",Ni4La2P2,P2LaNi,0,,,,,,,,,
633,"La2Ni12P5,mP38,11",1007528.cif,Ni4,yes,no,"[['', 0]]",Ni6La2,Ni2P2,0,,,,,,,,,
632,"La2Ni12P5,mP38,11",1007528.cif,Ni3,yes,no,"[['', 0]]",Ni6La2,Ni2P2,0,,,,,,,,,
631,"La2Ni12P5,mP38,11",1007528.cif,Ni2,yes,no,"[['', 0]]",Ni4La2P2,Ni2LaP,0,,,,,,,,,
630,"La2Ni12P5,mP38,11",1007528.cif,Ni1,yes,no,"[['', 0]]",Ni4La2P2,Ni2LaP,0,,,,,,,,,
552,"Ce6Pt11In14,mS62,12",1200388.cif,In5,yes,no,"[['', 0]]",In4Ce2Pt2,Pt2CeIn,0,,,,,,,,,
629,"RbNa8Ga3As6,oP72,62",1229899.cif,Na2,yes,no,"[['', 0]]",Na4As2Rb2,As2Na2,0,,,,,,,,,
620,"LuNiGe,oS48,63",1322285.cif,Ni3,yes,no,"[['', 0]]",Ge4Lu4,Lu2Ni2,0,,,,,,,,,
619,"LuNiGe,oS48,63",1322285.cif,Ge3,yes,no,"[['', 0]]",Ni6Lu2,Lu4,0,,,,,,,,,
618,"LuNiGe,oS48,63",1322285.cif,Ge1,yes,no,"[['', 0]]",Lu4Ge2Ni2,Lu2GeNi,0,,,,,,,,,
616,"SrIrIn6,oP16,51",1050280.cif,In5,yes,no,"[['', 0]]",In4Sr4,In4,0,,,,,,,,,
614,"SrIrIn6,oP16,51",1050280.cif,In3,yes,no,"[['', 0]]",In4Ir2Sr2,In4,0,,,,,,,,,
613,"SrIrIn6,oP16,51",1050280.cif,In1,yes,no,"[['', 0]]",In4Ir2Sr2,In4,0,,,,,,,,,
612,"ErNi3Ge2,hP72,174",1406536.cif,Ge1,yes,no,"[['', 0]]",Ni4Er2Ge2,Ni3Ge,0,,,,,,,,,
611,"ErNi3Ge2,hP72,174",1406536.cif,Ni5,yes,no,"[['', 0]]",Er4Ge2Ni2,Ge2ErNi,0,,,,,,,,,
567,"U6Fe22Ge13,oP82,55",1142619.cif,Ge5,yes,no,"[['', 0]]",Fe8,Fe4,0,,,,,,,,,
565,"U6Fe22Ge13,oP82,55",1142619.cif,Fe9,yes,no,"[['', 0]]",U4Fe2Ge2,Fe2Ge2,0,,,,,,,,,
564,"U6Fe22Ge13,oP82,55",1142619.cif,Fe6,yes,no,"[['', 0]]",Fe4Ge2U2,Fe2GeU,0,,,,,,,,,
563,"U6Fe22Ge13,oP82,55",1142619.cif,Fe7,yes,no,"[['', 0]]",Fe4Ge4,Fe2Ge2,0,,,,,,,,,
562,"U6Fe22Ge13,oP82,55",1142619.cif,Fe4,yes,no,"[['', 0]]",Fe4Ge2U2,Ge2FeU,0,,,,,,,,,
561,"Ti8S3,mS88,12",1251176.cif,Ti11,yes,no,"[['', 0]]",Ti8,S2Ti2,0,,,,,,,,,
560,"Ti8S3,mS88,12",1251176.cif,Ti8,yes,no,"[['', 0]]",Ti6S2,Ti3S,0,,,,,,,,,
559,"Ti8S3,mS88,12",1251176.cif,Ti2,yes,no,"[['', 0]]",Ti6S2,Ti4,0,,,,,,,,,
555,"Ce6Pt11In14,mS62,12",1200388.cif,In4,yes,no,"[['', 0]]",Pt4Ce2In2,In2CePt,0,,,,,,,,,
666,"Gd5Co2Al2,oP18,55",1128767.cif,Al1,yes,no,"[['', 0]]",Gd6Co2,Gd4,0,,,,,,,,,
670,"Eu10Ni21As15.5,hP92,176",1928382.cif,Ni6,yes,no,"[['', 0]]",Ni4As2Eu2,As2Eu2,0,,,,,,,,,
642,"Er5Ni3Al3Ge4,oP30,59",1910334.cif,Ge1,yes,no,"[['', 0]]",Er4Ge2Ni2,Er2AlNi,0,,,,,,,,,
640,"K2Ag3CeTe4,oP40,62",1920676.cif,Ag2,yes,no,"[['', 0]]",Ag2Ce2K2Te2,Te2AgK,0,,,,,,,,,
995,"Y7Te2,oP36,62",1622962.cif,Y1,yes,no,"[['', 0]]",Y8,Y3Te,0,,,,,,,,,
808,"Eu3Pd4As4,oP11,47",1707996.cif,Pd3,yes,no,"[['', 0]]",Eu4Pd4,As4,0,,,,,,,,,
637,"La2Ni12P5,mP38,11",1007528.cif,Ni11,yes,no,"[['', 0]]",Ni6P2,Ni3P,0,,,,,,,,,
953,"SrHg8,oP72,62",1126280.cif,Hg8,yes,no,"[['', 0]]",Hg6Sr2,Hg3Sr,0,,,,,,,,,
