,Structure type,cif,site,tcsp_present,tctp_on_caps,tctp_sites,sp_square_formula,sp_cap_formula,num_tctp_caps,tctp_center_0,tctp_tp_formula_0,tctp_cap_formula_0,tctp_center_1,tctp_tp_formula_1,tctp_cap_formula_1,tctp_center_2,tctp_tp_formula_2,tctp_cap_formula_2
6,"ZrNiAl,hP9,189",536830.cif,Al1,yes,yes,"[['Ni1', 2]]",Zr6Ni2,Al2Ni2,2,Ni1,Zr6,Al3,,,,,,
7,"NdTe3,oS16,63",1903346.cif,Te2,yes,yes,"[['Nd', 2]]",Te8,Nd2Te2,2,Nd,Te6,Te3,,,,,,
286,"Lu3CoGa5,hP9,189",1007829.cif,Ga1,yes,yes,"[['Ga2', 2]]",Lu6Co2,Ga4,2,Ga2,Lu6,Ga3,,,,,,
273,"Cu2Yb4Sn5,oP22,59",1904236.cif,Sn3,yes,yes,"[['Cu4', 2]]",Sn4Yb4,Cu2Yb2,2,Cu4,Yb4Sn2,Sn3,,,,,,
69,"Er5Zr3Ni16As12,hP36,189",1803018.cif,Ni(3),yes,yes,"[['As(1)', 2]]",Ni4As2Zr2,As2Er2,2,As(1),Er2Ni2Zr2,Ni3,,,,,,
980,"LaSbTe,oP12,62",1010923.cif,Sb3,yes,yes,"[['La1', 2]]",Sb4La2Te2,La2Te2,2,La1,Te4Sb2,Sb2Te,,,,,,
401,"Ti45Se16,mS122,12",1003626.cif,Ti1,yes,yes,"[['Se7', 2]]",Ti8,Se2Ti2,2,Se7,Ti6,Ti3,,,,,,
42,"PbCl2,oP12,62",1720161.cif,Cl1,yes,yes,"[['Pb', 2]]",Cl6Pb2,Cl2Pb2,2,Pb,Cl6,Cl3,,,,,,
17,"Y3NiAl3Ge2,hP9,189",1950503.cif,Al1,yes,yes,"[['Ge1', 2]]",Y6Ni2,Al2Ge2,2,Ge1,Y6,Al3,,,,,,
228,"CuYbGa3,mS20,12",1234798.cif,Ga1,yes,yes,"[['Cu', 1], ['Ga3', 1]]",Ga4Cu2Yb2,Yb2CuGa,2,Cu,Yb4Ga2,Ga3,Ga3,Yb4Ga2,Ga2Cu,,,
229,"CuYbGa3,mS20,12",1234798.cif,Ga2,yes,yes,"[['Ga3', 1], ['Cu', 1]]",Ga6Yb2,Yb2CuGa,2,Ga3,Yb4Ga2,Ga2Cu,Cu,Yb4Ga2,Ga3,,,
231,"Hf2Co4P3,hP36,189",303265.cif,Co3,yes,yes,"[['P2', 2]]",Hf4Co2P2,P2CoHf,2,P2,Hf4Co2,Co3,,,,,,
233,"Hf2Co4P3,hP36,189",303265.cif,Co1,yes,yes,"[['P2', 2]]",Co4Hf2P2,Hf2P2,2,P2,Hf4Co2,Co3,,,,,,
121,"Ce2Pt7Ge4,oP52,62",1233570.cif,Pt1,yes,yes,"[['Ge4', 1], ['Ge1', 1]]",Pt4Ce2Ge2,Ge2CePt,2,Ge4,Pt4Ce2,Pt3,Ge1,Pt4Ce2,Pt3,,,
12,"K2UF6,hP9,189",1901320.cif,F1,yes,yes,"[['K', 2]]",F6U2,F2K2,2,K,F6,F3,,,,,,
907,"Mg8Cu5Y5,oP36,51",1629332.cif,Mg3,yes,yes,"[['Cu1', 1], ['Cu2', 1]]",Y6Cu2,Cu2Mg2,2,Cu1,Y4Mg2,Mg3,Cu2,Y6,Mg3,,,
908,"Mg8Cu5Y5,oP36,51",1629332.cif,Mg4,yes,yes,"[['Cu2', 2]]",Y6Cu2,Cu2Mg2,2,Cu2,Y6,Mg3,,,,,,
41,"Fe2P,hP9,189",1645621.cif,Fe1,yes,yes,"[['P1', 2]]",Fe6P2,Fe2P2,2,P1,Fe6,Fe3,,,,,,
67,"Er5Zr3Ni16As12,hP36,189",1803018.cif,Ni(1),yes,yes,"[['As(1)', 2]]",As2Er2Ni2Zr2,As2ErNi,2,As(1),Er2Ni2Zr2,Ni3,,,,,,
180,"LaNiAl,oP24,62",1651340.cif,Al2,yes,yes,"[['Ni2', 2]]",La6Ni2,Ni2AlLa,2,Ni2,La6,Al3,,,,,,
186,"K6ZnBi5,oP24,59",1638689.cif,K2,yes,yes,"[['Bi2', 1], ['Bi3', 1]]",Bi4K4,Bi2K2,2,Bi2,K6,Bi2K,Bi3,K6,K2Zn,,,
169,"YCo5P3,oP36,62",1612283.cif,Co3,yes,yes,"[['P1', 1], ['P2', 1]]",Co4P2Y2,P2CoY,2,P1,Co4Y2,Co3,P2,Co4Y2,Co3,,,
130,"Hf3Ni2Si3,oS32,63",1407105.cif,Ni,yes,yes,"[['Si1', 1], ['Si2', 1]]",Hf4Ni2Si2,Hf2Si2,2,Si1,Hf4Ni2,HfNiSi,Si2,Hf6,Ni2Hf,,,
138,"NbCoB,oP30,59",1606324.cif,Co3,yes,yes,"[['B2', 2]]",Nb6B2,B2Co2,2,B2,Nb6,Co3,,,,,,
139,"Cu9La2Mn3P7,hP21,174",1635769.cif,Cu3,yes,yes,"[['P2', 2]]",Cu4La2P2,P2LaMn,2,P2,Cu4La2,Cu2Mn,,,,,,
140,"Cu9La2Mn3P7,hP21,174",1635769.cif,Cu2,yes,yes,"[['P3', 1], ['P1', 1]]",Mn4Cu2P2,P2CuLa,2,P3,Mn6,Cu3,P1,Cu2La2Mn2,Cu3,,,
141,"Cu9La2Mn3P7,hP21,174",1635769.cif,Cu1,yes,yes,"[['P1', 2]]",Cu2La2Mn2P2,P2CuLa,2,P1,Cu2La2Mn2,Cu3,,,,,,
122,"Ce2Pt7Ge4,oP52,62",1233570.cif,Pt2,yes,yes,"[['Ge1', 1], ['Ge3', 1]]",Pt4Ce2Ge2,Ce2Ge2,2,Ge1,Pt4Ce2,Pt3,Ge3,Ce4Pt2,Pt3,,,
136,"NbCoB,oP30,59",1606324.cif,Co1,yes,yes,"[['B1', 1], ['B2', 1]]",Nb4B2Co2,B2Nb2,2,B1,Nb4Co2,Co2Nb,B2,Nb6,Co3,,,
